name,state,city,address,postalCode,latitude,longitude
Burger King,MA,Chicopee,1284 Memorial Dr,1020,42.1927,-72.5763
D'Angelo Grilled Sandwiches,MA,Chicopee,1606 Memorial Dr,1020,42.201117596,-72.574102772
Burger King,MA,Easthampton,113 Northampton St,1027,42.278666,-72.671148
McDonald's,MA,Holyoke,285 Maple St,1040,42.20578,-72.61053
Taco Bell,MA,Northampton,203 King St,1060,42.32848,-72.63297
Burger King,MA,Southampton,158 College Hwy,1073,42.2371,-72.7243
Burger King,MA,Springfield,755 Page Blvd,1104,42.142746,-72.554422
Domino's Pizza,MA,Longmeadow,400 Shaker Rd,1106,42.04038,-72.570076
Burger King,MA,Springfield,489 State St,1109,42.108163,-72.576647
Burger King,MA,Pittsfield,29 1st St,1201,42.4487,-73.2511
Subway,MA,Pittsfield,555 Hubbard Ave,1201,42.4664,-73.1959
McDonald's,MA,Great Barrington,302 Stockbridge Rd,1230,42.209828,-73.345399
McDonald's,MA,Lee,370 West Stockbridge Road,1238,42.2969,-73.2747
McDonald's,MA,Lee,240 West Rd,1238,42.2947,-73.27212
Burger King,MA,Lenox,500 Pittsfield Rd,1240,42.40503,-73.26413
Burger King,MA,North Adams,74 American Legion Dr,1247,42.697462,-73.113245
Papa Gino's,MA,Fitchburg,399 John Fitch Hwy,1420,42.58161,-71.77536
Domino's Pizza,MA,Fitchburg,189 Lunenburg St,1420,42.5842,-71.78163
Wendy's,MA,Ayer,2 Barnum Rd,1432,42.551933,-71.57348
McDonald's,MA,Ayer,2 Sandy Pond Rd,1432,42.55365,-71.57156
Taco Bell,MA,Ayer,4 Sandy Pond Rd,1432,42.554033,-71.571141
McDonald's,MA,Leominster,340 New Lancaster Rd,1453,42.49508,-71.72897
Crown Fried Chicken,MA,Leominster,174 Main St,1453,42.53255,-71.75553
Arby's,MA,Auburn,406 Southbridge St,1501,42.2028,-71.8385
McDonald's,MA,Oxford,26 Sutton Ave,1540,42.11758,-71.85975
McDonald's,MA,Southbridge,515 E Main St,1550,42.070287,-72.012211
Domino's Pizza,MA,Southbridge,825 Main St,1550,42.08056,-72.04519
Chick-fil-A,MA,Westborough,286 Turnpike Rd,1581,42.282455,-71.64554
Mcdonald's,MA,Worcester,40/25,1601,50.447024846,30.509076118
Domino's Pizza,MA,Worcester,294 Hamilton St,1604,42.25697,-71.76954
Burger King,MA,Framingham,259 Cochituate Rd,1701,42.302078,-71.402857
Dunkin Donuts,MA,Acton,212 Main St,1720,42.468486,-71.456183
Boston Market,MA,Marlborough,189 Boston Post Rd W,1752,42.33929,-71.5893
Five Guys,MA,Milford,9 Medway Road,1757,42.1499,-71.50204
Dunkin Donuts,MA,Woburn,100 Atlantic Ave,1801,42.51699,-71.14184
Bobby's Burger Palace,MA,Burlington,75 Middlesex Tpke,1803,42.47982,-71.2162
Wendy's,MA,Burlington,112 Burlington Mall Rd,1803,42.485442404,-71.217648227
McDonald's,MA,Billerica,273 Boston Rd,1821,42.5747,-71.2821
Burger King,MA,Chelmsford,77 Drum Hill Rd,1824,42.624637,-71.363111
Boston Market,MA,Lawrence,435 Winthrop Ave,1843,42.67923,-71.13396
McDonald's,MA,Lawrence,599 Andover St,1843,42.6902,-71.1729
Wendy's,MA,Lawrence,99 Winthrop Ave,1843,42.68871,-71.14764
Taco Bell,MA,Lawrence,79 Winthrop Ave,1843,42.689294,-71.14899
KFC,MA,Lawrence,490 S Union St,1843,42.6896,-71.1527
Burger King,MA,Methuen,248 Haverhill St,1844,42.706546,-71.204659
KFC/Taco Bell,MA,Lowell,1720 Middlesex St,1851,42.635011148,-71.353045996
Domino's Pizza,MA,Lowell,77 Mammoth Rd,1854,42.65132,-71.33342
Wendy's,MA,North Billerica,312 Boston Rd,1862,42.571979,-71.277155
Burger King,MA,Tewksbury,85 Main St,1876,42.625957,-71.2708
McDonald's,MA,Tewksbury,1928 Main St,1876,42.591022,-71.20445
SUBWAY,MA,Westford,174 Littleton Rd,1886,42.566574,-71.42193
Chipotle Mexican Grill,MA,Westford,174 Littleton Rd,1886,42.56663,-71.422005
Burger King,MA,Winchester,765 Main St,1890,42.45815,-71.13944
McDonald's,MA,Amesbury,100 Macy St,1913,42.846266,-70.907334
Pizza Hut,MA,Beverly,314 Cabot St,1915,42.5533,-70.87873
Burger King,MA,Beverly,498 Rantoul St,1915,42.556601,-70.880509
McDonald's,MA,Danvers,180 Endicott St,1923,42.54835,-70.94125
Blimpie Subs & Sandwiches,MA,Peabody,545 Lowell St,1960,42.547753,-70.982478
Five Guys,MA,East Walpole,104 Providence Hwy,2032,42.154976,-71.204124
Old Country Buffet,MA,East Walpole,90 Providence Hwy F400,2032,42.15523,-71.20403
The Break Away Sports Cafe,MA,Foxboro,10 E Belcher Rd,2035,42.062111304,-71.229401162
Burger King,MA,Franklin,536 W Central St,2038,42.090192,-71.420374
Papa Gino's,MA,Franklin,245 Franklin Village Dr,2038,42.09014,-71.42484
Taco Bell,MA,Franklin,420 W Central St,2038,42.087642,-71.41529
Mcdonald's,MA,Medway,67b Main St,2053,42.152549521,-71.405338205
Mcdonald's,MA,Medway,67 Main St,2053,42.15205,-71.40621
Burger King,MA,Stoughton,1333 Park St,2072,42.101956,-71.067946
McDonald's,MA,Boston,329 Washington St,2108,42.35688,-71.05896
Burger King,MA,Boston,1 Center Plz,2108,42.36065,-71.06082
Subway,MA,Boston,262 Washington St,2108,42.35791,-71.05787
Dunkin' Donuts,MA,Boston,3 Post Office Sq,2109,42.35678,-71.05583
Boston Chowda Company,MA,Boston,1 Faneuil Hall Market Pl,2109,42.359748961,-71.055750846
Five Guys,MA,Boston,58 Summer St,2110,42.354416,-71.05866
Subway,MA,Boston,144 Tremont St,2111,42.35545,-71.06302
McDonald's,MA,Roslindale,718 American Legion Hwy,2131,42.28321,-71.11364
Blimpie,MA,West Roxbury,5315 Washington St,2132,42.258385,-71.160706
McDonald's,MA,West Roxbury,1650 Vfw Pkwy,2132,42.264412,-71.167991
Subway,MA,Allston,260 Western Ave,2134,42.36313,-71.133224
Burger King,MA,Somerville,185 Somerville Ave,2143,42.377838,-71.089831
Dunkin Donuts,MA,Somerville,282 Somerville Ave,2143,42.3790404,-71.0940013
Burger King,MA,Chelsea,150 Everett Ave,2150,42.3958,-71.03969
Domino's Pizza,MA,Revere,570 Broadway,2151,42.4134,-71.0103
Domino's Pizza,MA,Medford,230 Main St,2155,42.41117,-71.11035
Domino's Pizza,MA,Medford,428 Salem St,2155,42.422703,-71.09214
Burger King,MA,Medford,383 Mystic Ave,2155,42.40212,-71.09816
Pizza Hut,MA,Quincy,627 Washington St,2169,42.246413,-70.976131
Burger King,MA,Quincy,670 Adams St,2169,42.255975,-71.033275
Domino's Pizza,MA,Quincy,225 Quincy Ave,2169,42.2412,-70.9912
Burger King,MA,Quincy,62 Granite St,2169,42.247904,-71.004319
Wendy's,MA,Quincy,191 Newport Ave,2170,42.269911,-71.02426
Dunkin' Donuts,MA,Quincy,65 Newport Ave,2171,42.27145,-71.02717
Domino's Pizza,MA,Quincy,61 Hancock St,2171,42.2819,-71.0366
Burger King,MA,Braintree,165 Pearl St,2184,42.202827,-70.99957
Domino's Pizza,MA,East Weymouth,824 Washington St,2189,42.20084,-70.94344
Domino's Pizza,MA,South Weymouth,4 Union St,2190,42.17422,-70.95057
Subway,MA,Boston,493 Beacon St,2215,42.350793,-71.089688
Five Guys,MA,Brockton,27 Westgate Drive,2301,42.08959,-71.04739
McDonald's,MA,Brockton,664 Crescent St Route 27,2302,42.0813,-70.9919
McDonald's,MA,Brockton,664 Crescent St,2302,42.081025,-70.992588
Burger King,MA,Hanover,1835 Washington St,2339,42.147511,-70.845478
Burger King,MA,North Easton,479 Foundry St,2356,42.0233,-71.1193
D'Angelo Grilled Sandwiches,MA,Plymouth,116 Colony Place Rd,2360,41.952805,-70.714096
Burger King,MA,Kingston,137 Main St,2364,41.9877,-70.7158
McDonald's,MA,Kingston,178 Summer St,2364,42.010554,-70.732372
Wendy's,MA,Randolph,14 Condlin Dr,2368,42.166172,-71.046023
Wendy's,MA,West Bridgewater,707 W Center St,2379,42.01248,-71.05128
McDonald's,MA,West Bridgewater,800 N Main St,2379,42.04215,-71.00979
Five Guys,MA,Waltham,1030 Main Street,2451,42.3756,-71.25283
McDonald's,MA,Waltham,789 Main St,2451,42.3767,-71.2421
Domino's Pizza,MA,Newton Center,880 Walnut St,2459,42.3316,-71.2071
Fresh City,MA,Newton Upper Falls,241 Needham St,2464,42.30977,-71.214806
Burger King,MA,East Falmouth,111 Teaticket Hwy,2536,41.56274,-70.59704
Siam To Go,MA,Nantucket,10 Backus Ln,2554,41.268734,-70.097404
Chick-fil-A,MA,Hyannis,155 Enterprise Rd,2601,41.67018,-70.30102
KFC,MA,Hyannis,314 Barnstable Rd,2601,41.661922,-70.28549
Wendy's,MA,Hyannis,554 Iyannough Rd,2601,41.665811,-70.288796
Wendy's,MA,Orleans,15 Canal Rd,2653,41.796998,-69.984941
McDonald's,MA,Attleboro,531 Pleasant St,2703,41.9521,-71.27
Wendy's,MA,Fairhaven,7 Fairhaven Commons Way,2719,41.644307,-70.88552
McDonalds,MA,Fall River,300 Plymouth Ave,2721,41.6955,-71.1507
D'angelo Grilled Sandwiches,MA,Fall River,16 S William Canning Blvd,2721,41.67739,-71.162109
Burger King,MA,Somerset,883 Gar Hwy Route 6,2726,41.731396427,-71.171567444
Domino's Pizza,MA,New Bedford,109 Rockdale Ave,2740,41.6146,-70.9355
Burger King,MA,New Bedford,1383 Cove Rd,2744,41.61469,-70.92949
Taco Bell,MA,New Bedford,85 Coggeshall St,2746,41.6568,-70.920204
Burger King,MA,Plainville,6 Taunton St,2762,42.009583,-71.30556
Taco Bell,MA,Raynham,600 South Street,2767,41.9058,-71.0472
McDonald's,MA,Swansea,181 James Reynolds Road,2777,41.7694,-71.2642
